batch_id,start_row,lat_ms,hip_pred_1,hip_pred_2,hip_pred_3,hip_pred_4,hip_pred_5,knee_pred_1,knee_pred_2,knee_pred_3,knee_pred_4,knee_pred_5,rmse_scaled_hip,rmse_scaled_knee,rmse_phys_hip,rmse_phys_knee
0,865,4.45,-2.019586,-2.053666,-2.068466,-2.075786,-2.080194,-0.562820,-0.575401,-0.585155,-0.592246,-0.597547,0.115504,0.183734,0.446418,0.450317
1,5116,2.54,-0.958249,-0.921542,-0.895793,-0.872606,-0.850987,-0.426919,-0.401871,-0.388436,-0.378383,-0.370084,0.025405,0.120716,0.098188,0.295864
2,433,2.57,-0.085837,-0.085867,-0.087415,-0.087842,-0.086505,0.007093,0.008726,0.008414,0.008471,0.009487,0.025357,0.019751,0.098002,0.048409
4,3046,2.30,-0.183084,-0.215130,-0.244586,-0.269106,-0.289098,0.035798,0.026978,0.016552,0.007547,0.000364,0.040499,0.051974,0.156526,0.127383
5,835,2.54,-0.207616,-0.235716,-0.260026,-0.279389,-0.294507,0.067335,0.063928,0.058383,0.053772,0.050477,0.036438,0.015405,0.140832,0.037757
7,5317,2.34,-0.586170,-0.566752,-0.557675,-0.549805,-0.541877,-0.136137,-0.124991,-0.123405,-0.123413,-0.123637,0.020774,0.100265,0.080289,0.245740
8,5257,2.22,-0.936179,-1.032881,-1.105151,-1.156869,-1.193880,-0.394286,-0.438654,-0.472133,-0.494532,-0.508751,0.095288,0.086853,0.368283,0.212868
9,4624,2.17,-0.008109,-0.015964,-0.023118,-0.027639,-0.029370,0.039104,0.038785,0.036946,0.035752,0.035653,0.024153,0.027659,0.093351,0.067790
10,463,2.12,-0.451595,-0.516720,-0.569931,-0.612524,-0.646834,0.030660,0.008165,-0.013919,-0.032237,-0.046939,0.015596,0.006469,0.060277,0.015855
11,5689,2.11,-1.009090,-0.983737,-0.963826,-0.944832,-0.926859,-0.407337,-0.384542,-0.369531,-0.356282,-0.344193,0.052624,0.027310,0.203391,0.066935
14,3538,2.22,0.369527,0.363153,0.370192,0.381974,0.397556,-0.365044,-0.351774,-0.335116,-0.320375,-0.307335,0.060507,0.015717,0.233855,0.038521
16,2644,2.16,-0.329063,-0.454199,-0.556955,-0.640592,-0.708979,0.114547,0.057884,0.006520,-0.035702,-0.069699,0.138903,0.034896,0.536853,0.085527
17,4825,2.48,-0.056275,-0.054826,-0.055016,-0.054030,-0.051271,0.026130,0.028686,0.028985,0.029526,0.030899,0.013585,0.025610,0.052504,0.062768
19,3679,2.31,-2.313796,-2.300953,-2.307688,-2.314631,-2.323101,-1.163193,-1.153181,-1.157802,-1.163905,-1.170884,0.066072,0.064642,0.255364,0.158432
21,2533,2.14,0.345702,0.342051,0.349580,0.363306,0.381387,-0.323014,-0.307959,-0.292690,-0.279169,-0.267224,0.068594,0.022596,0.265113,0.055380
22,2443,2.16,-0.557348,-0.664740,-0.752512,-0.822007,-0.877089,-0.084307,-0.131508,-0.173519,-0.206621,-0.231948,0.173361,0.095362,0.670032,0.233725
23,3217,2.14,-0.079346,-0.083361,-0.089160,-0.093768,-0.096436,0.038768,0.040091,0.039367,0.038899,0.039352,0.046689,0.060840,0.180452,0.149114
25,5830,2.22,-0.281813,-0.322596,-0.356778,-0.383579,-0.404147,-0.040411,-0.055352,-0.070252,-0.082506,-0.092066,0.043717,0.028716,0.168963,0.070381
26,5086,2.13,-1.846145,-1.843115,-1.840530,-1.839665,-1.840409,-0.978775,-0.979537,-0.981425,-0.983941,-0.986819,0.084213,0.038667,0.325478,0.094770
28,5659,2.01,-1.966551,-1.946379,-1.946222,-1.946541,-1.948308,-1.260719,-1.252091,-1.255949,-1.259465,-1.263116,0.137032,0.074598,0.529622,0.182833
29,1267,2.05,-2.157654,-2.158398,-2.167785,-2.176439,-2.185706,-1.034361,-1.033646,-1.040516,-1.047471,-1.054490,0.086357,0.152962,0.333763,0.374896
30,694,1.94,-1.364821,-1.347103,-1.330961,-1.315445,-1.301076,-0.581208,-0.564912,-0.552413,-0.540856,-0.530258,0.013540,0.097822,0.052332,0.239754
31,1870,1.97,-2.230254,-2.263002,-2.286484,-2.304491,-2.320580,-0.847762,-0.860098,-0.873493,-0.885123,-0.895479,0.104578,0.031513,0.404188,0.077236
32,4222,1.94,0.000621,-0.005553,-0.011209,-0.014308,-0.014638,0.001694,0.001073,-0.000855,-0.001922,-0.001710,0.012034,0.012438,0.046509,0.030485
33,805,2.00,-0.101051,-0.096726,-0.094824,-0.092324,-0.088455,0.013364,0.016827,0.017879,0.019050,0.020985,0.036882,0.020411,0.142548,0.050026
34,664,2.16,-2.009516,-2.039348,-2.056289,-2.068541,-2.078907,-0.781551,-0.790703,-0.798076,-0.804182,-0.809445,0.035854,0.109569,0.138575,0.268544
35,2161,2.23,-0.012593,-0.047404,-0.077100,-0.100243,-0.117502,0.031109,0.053589,0.068329,0.080012,0.090084,0.043558,0.046073,0.168349,0.112922
36,895,2.33,-1.324577,-1.287313,-1.257714,-1.231227,-1.207575,-0.553497,-0.532765,-0.518091,-0.505276,-0.493912,0.040054,0.171636,0.154806,0.420665
37,3619,2.07,-0.071222,-0.075687,-0.081400,-0.085757,-0.088085,0.025101,0.025426,0.024163,0.023357,0.023599,0.012911,0.062592,0.049901,0.153408
38,3850,2.04,-0.121276,-0.115579,-0.114521,-0.113812,-0.112169,0.045667,0.051100,0.053252,0.054984,0.057187,0.071143,0.045255,0.274964,0.110917
40,5056,1.99,-0.638857,-0.706839,-0.762383,-0.806098,-0.840471,-0.134070,-0.160527,-0.185465,-0.205545,-0.221175,0.022497,0.019952,0.086951,0.048901
41,1036,1.97,-0.289005,-0.318640,-0.345772,-0.368333,-0.386897,0.029059,0.022946,0.014452,0.006983,0.000943,0.007974,0.023491,0.030818,0.057574
42,3508,1.99,-1.898954,-1.907114,-1.906254,-1.901879,-1.896467,-0.579271,-0.584899,-0.589620,-0.591741,-0.591910,0.040046,0.049546,0.154777,0.121433
43,202,1.95,-0.097077,-0.098678,-0.101702,-0.103472,-0.103350,-0.001023,-0.000103,-0.001095,-0.001640,-0.001144,0.021560,0.015247,0.083327,0.037368
45,1639,1.97,-0.895225,-0.999315,-1.078619,-1.136981,-1.179971,-0.190544,-0.239600,-0.279469,-0.308036,-0.327743,0.120445,0.157227,0.465512,0.385349
49,523,1.99,-0.074370,-0.041015,-0.011610,0.016751,0.044247,-0.410324,-0.400645,-0.394080,-0.389240,-0.385603,0.155013,0.053101,0.599117,0.130146
52,5458,1.97,-2.093719,-2.085518,-2.090272,-2.094582,-2.099680,-1.064200,-1.063129,-1.070684,-1.077869,-1.084878,0.134162,0.105672,0.518527,0.258994
54,4654,1.94,-1.309753,-1.406667,-1.471986,-1.514820,-1.542456,-0.007175,-0.060574,-0.103567,-0.134936,-0.157361,0.090328,0.050179,0.349113,0.122985
55,2101,2.04,-2.064259,-2.078029,-2.087327,-2.096696,-2.106831,-0.940544,-0.941289,-0.943611,-0.946894,-0.950761,0.046957,0.080725,0.181486,0.197851
56,3709,2.07,-1.667080,-1.660063,-1.649594,-1.637854,-1.626345,-0.559625,-0.558983,-0.558096,-0.555375,-0.551536,0.018498,0.087727,0.071494,0.215012
57,61,2.37,-1.939637,-1.950710,-1.954892,-1.957797,-1.960851,-0.775152,-0.778497,-0.781104,-0.783114,-0.784738,0.014893,0.045837,0.057560,0.112343
58,1498,2.06,-1.253542,-1.213598,-1.182365,-1.154396,-1.129192,-0.339437,-0.322612,-0.313315,-0.305004,-0.297138,0.052676,0.078424,0.203589,0.192209
59,2905,1.97,-1.942902,-1.946852,-1.948889,-1.951789,-1.955749,-0.843079,-0.838892,-0.837039,-0.836300,-0.836182,0.038248,0.065362,0.147827,0.160198
61,3337,1.99,0.441275,0.411373,0.402024,0.403706,0.412934,-0.291276,-0.282267,-0.269819,-0.257760,-0.246645,0.012847,0.060129,0.049652,0.147372
63,1237,1.99,-0.354341,-0.399628,-0.437857,-0.468551,-0.493072,-0.015651,-0.031690,-0.048319,-0.062369,-0.073767,0.034397,0.048916,0.132942,0.119889
64,5287,1.98,-1.757406,-1.747480,-1.738401,-1.731087,-1.725502,-0.794675,-0.790180,-0.786553,-0.783170,-0.779995,0.081691,0.026627,0.315733,0.065259
65,634,1.94,-0.192152,-0.221536,-0.247429,-0.267980,-0.283739,0.028868,0.021991,0.013377,0.006225,0.000918,0.004276,0.013292,0.016526,0.032578
66,5026,2.01,-0.124510,-0.126026,-0.129536,-0.132169,-0.133113,-0.006460,-0.005869,-0.007153,-0.008039,-0.007886,0.072067,0.045248,0.278533,0.110898
67,3478,2.05,-2.421479,-2.416056,-2.424058,-2.432419,-2.442350,-1.049282,-1.050792,-1.060051,-1.068674,-1.076939,0.134560,0.100642,0.520066,0.246666
68,1126,1.95,0.262446,0.267938,0.279275,0.295121,0.313938,-0.360945,-0.346818,-0.334494,-0.324065,-0.315220,0.070558,0.074730,0.272703,0.183156
69,5890,1.95,-1.281874,-1.262693,-1.243468,-1.223995,-1.205328,-0.600031,-0.576840,-0.558577,-0.542061,-0.527153,0.067965,0.083652,0.262681,0.205023
70,1,1.94,-0.065928,-0.068463,-0.071958,-0.073939,-0.073855,0.004346,0.004949,0.003840,0.003268,0.003782,0.037679,0.004974,0.145627,0.012190
71,2011,2.00,-0.140189,-0.150335,-0.162183,-0.172266,-0.179937,0.016807,0.016108,0.013172,0.010661,0.009259,0.120585,0.017257,0.466055,0.042296
72,2071,2.06,-2.493478,-2.505202,-2.523498,-2.539297,-2.554741,-0.965002,-0.975769,-0.991135,-1.004397,-1.016171,0.090832,0.133128,0.351060,0.326284
73,3418,2.30,-0.076730,-0.081119,-0.086958,-0.091486,-0.094009,0.029216,0.029952,0.028851,0.028109,0.028357,0.016149,0.064329,0.062413,0.157665
74,3940,2.68,-0.542923,-0.447605,-0.371249,-0.305939,-0.248832,-0.512434,-0.518221,-0.526004,-0.533600,-0.540611,0.123459,0.113480,0.477162,0.278130
75,1900,2.14,-1.591952,-1.564424,-1.539240,-1.516025,-1.495051,-0.484101,-0.470354,-0.459174,-0.448059,-0.437283,0.056359,0.053734,0.217826,0.131698
76,3166,2.12,-0.180330,-0.202781,-0.227770,-0.250166,-0.268619,0.169995,0.209131,0.234372,0.252441,0.266253,0.044769,0.049912,0.173030,0.122330
77,1006,2.01,-0.133393,-0.136281,-0.141477,-0.145742,-0.148240,0.006570,0.007362,0.006028,0.004989,0.004935,0.020030,0.010575,0.077416,0.025919
78,2473,1.97,-2.485831,-2.480978,-2.492662,-2.503857,-2.515795,-1.014269,-1.016739,-1.027049,-1.036169,-1.044587,0.108357,0.140521,0.418795,0.344404
79,3910,2.32,-2.244938,-2.249376,-2.260831,-2.271675,-2.283246,-0.984215,-0.983083,-0.988628,-0.994269,-1.000027,0.062838,0.114462,0.242865,0.280535
80,2935,1.96,0.259958,0.239210,0.232626,0.234823,0.243079,-0.239455,-0.233942,-0.227678,-0.221778,-0.216229,0.083714,0.003305,0.323549,0.008101
81,2815,1.95,-0.150079,-0.162665,-0.176312,-0.187709,-0.196374,0.012211,0.010847,0.007203,0.004109,0.002214,0.084898,0.007960,0.328127,0.019510
82,4855,1.94,-0.726169,-0.797541,-0.855162,-0.901080,-0.937732,0.085454,0.057940,0.030543,0.007387,-0.011599,0.116203,0.068368,0.449117,0.167565
83,1840,1.98,-0.276802,-0.316310,-0.349331,-0.375018,-0.394560,-0.002932,-0.014884,-0.027481,-0.037636,-0.045235,0.075764,0.052856,0.292823,0.129546
85,2272,2.00,-0.538854,-0.698160,-0.824715,-0.925806,-1.006728,0.279238,0.198128,0.127117,0.069488,0.023608,0.085406,0.036360,0.330089,0.089116
86,493,2.01,-1.796243,-1.794432,-1.788222,-1.781469,-1.775452,-0.680688,-0.677536,-0.674071,-0.669984,-0.665682,0.038104,0.095070,0.147271,0.233009
87,2875,1.97,-2.509785,-2.511820,-2.526225,-2.539776,-2.553701,-0.975945,-0.983359,-0.996283,-1.007455,-1.017407,0.093078,0.157609,0.359742,0.386287
88,2362,2.29,-0.154083,-0.190764,-0.212499,-0.223943,-0.228341,-0.178013,-0.182673,-0.185779,-0.186962,-0.186638,0.153488,0.025630,0.593223,0.062816
89,1207,2.35,-0.108728,-0.113329,-0.119045,-0.123243,-0.125296,-0.012010,-0.012569,-0.014851,-0.016528,-0.017010,0.031504,0.014737,0.121763,0.036120
90,5428,2.01,-0.309652,-0.359123,-0.398893,-0.429186,-0.451747,-0.064798,-0.085009,-0.103705,-0.118672,-0.130151,0.065024,0.050686,0.251316,0.124227
91,2332,1.98,-1.709806,-1.699262,-1.689112,-1.680033,-1.672296,-0.709541,-0.699260,-0.690243,-0.681485,-0.673235,0.029854,0.047915,0.115384,0.117437
93,5860,2.05,-2.011845,-2.005591,-2.010390,-2.014333,-2.018814,-1.147986,-1.148745,-1.157392,-1.164924,-1.171796,0.124427,0.069896,0.480903,0.171310
94,1669,2.01,-2.164341,-2.176647,-2.188215,-2.199179,-2.210530,-0.869609,-0.873420,-0.880681,-0.887862,-0.894680,0.157226,0.058528,0.607670,0.143448
95,262,1.98,-1.904019,-1.911752,-1.914607,-1.916791,-1.919332,-0.859366,-0.862769,-0.865731,-0.868397,-0.870813,0.032668,0.034467,0.126259,0.084476
96,3106,2.02,-1.719473,-1.715950,-1.707245,-1.696754,-1.686143,-0.599216,-0.601658,-0.602749,-0.601443,-0.598531,0.119747,0.049608,0.462814,0.121584
98,1297,1.98,-1.377650,-1.351671,-1.329425,-1.308445,-1.289050,-0.436027,-0.422502,-0.413763,-0.405134,-0.396606,0.009501,0.095889,0.036719,0.235016
100,5227,1.99,-0.070716,-0.074986,-0.079936,-0.083354,-0.084650,-0.011188,-0.012387,-0.014833,-0.016558,-0.017042,0.030626,0.039517,0.118369,0.096854
102,31,1.99,-0.368871,-0.422761,-0.467459,-0.503193,-0.531685,0.022437,0.003615,-0.015451,-0.031417,-0.044281,0.023176,0.037932,0.089572,0.092967
103,2845,1.96,-0.371988,-0.490643,-0.588216,-0.667630,-0.732545,0.114486,0.061552,0.013226,-0.026535,-0.058542,0.204109,0.026988,0.788870,0.066145
105,3076,1.98,-2.107355,-2.109884,-2.125812,-2.139907,-2.153597,-1.292318,-1.297875,-1.310672,-1.321640,-1.331404,0.109884,0.156154,0.424696,0.382720
106,2242,1.99,-0.219398,-0.242986,-0.265498,-0.284152,-0.299111,0.023787,0.019705,0.013325,0.007856,0.003791,0.153952,0.010476,0.595018,0.025675
108,3448,2.29,-0.097241,-0.128727,-0.159185,-0.185401,-0.207589,0.137958,0.133489,0.126045,0.119270,0.113785,0.018507,0.059348,0.071528,0.145457
109,1699,2.39,-1.363727,-1.336979,-1.313489,-1.290951,-1.269461,-0.008486,0.006117,0.013870,0.021180,0.028542,0.047293,0.064765,0.182786,0.158734
112,2131,2.07,0.334051,0.326083,0.331626,0.344073,0.361277,-0.320068,-0.306951,-0.292578,-0.279750,-0.268386,0.098065,0.014424,0.379017,0.035351
113,2563,2.01,-0.006342,-0.037743,-0.063996,-0.084116,-0.098835,0.035748,0.051320,0.060937,0.068665,0.075603,0.041461,0.042746,0.160245,0.104767
114,1609,2.00,-0.060088,-0.068750,-0.077153,-0.083038,-0.086111,0.003037,0.001617,-0.001305,-0.003380,-0.004116,0.005406,0.023753,0.020893,0.058216
117,2674,2.00,-2.516352,-2.495499,-2.501873,-2.509449,-2.518787,-1.079413,-1.073611,-1.079878,-1.086017,-1.092237,0.089063,0.159637,0.344223,0.391256
118,3277,1.96,-2.449822,-2.443149,-2.451748,-2.460211,-2.469986,-1.071630,-1.072474,-1.082406,-1.091690,-1.100589,0.163234,0.029346,0.630889,0.071925
122,4081,2.04,-1.757711,-1.746217,-1.732534,-1.719326,-1.707578,-0.611483,-0.604852,-0.599081,-0.593033,-0.586963,0.047235,0.058204,0.182562,0.142652
123,2764,1.95,-0.023607,-0.061552,-0.093762,-0.118787,-0.137454,0.032474,0.056929,0.072981,0.085631,0.096423,0.050440,0.021478,0.194949,0.052642
125,4513,1.96,-0.567022,-0.543290,-0.532425,-0.522744,-0.512460,-0.305394,-0.309040,-0.319853,-0.330612,-0.340294,0.027690,0.209699,0.107021,0.513954
128,4051,1.98,-0.682512,-0.769548,-0.839677,-0.895452,-0.939771,0.053817,0.018346,-0.015132,-0.042697,-0.064690,0.061329,0.058689,0.237034,0.143842
132,4111,1.93,-0.597317,-0.569896,-0.553462,-0.538636,-0.524086,-0.279777,-0.283493,-0.292636,-0.301557,-0.309357,0.066208,0.177971,0.255890,0.436191
133,1408,2.05,-0.119887,-0.121799,-0.125441,-0.127874,-0.128422,-0.004278,-0.003175,-0.004341,-0.005172,-0.005013,0.041492,0.027029,0.160363,0.066245
134,4714,1.95,-0.563123,-0.540258,-0.527943,-0.516630,-0.504908,-0.241444,-0.247507,-0.258676,-0.269259,-0.278333,0.006573,0.088395,0.025403,0.216648
135,2704,2.31,-1.986442,-1.995203,-2.000349,-2.005681,-2.011790,-0.850109,-0.846800,-0.845767,-0.845799,-0.846449,0.032134,0.027442,0.124196,0.067257
136,3649,1.98,-0.064147,-0.089040,-0.115244,-0.138325,-0.157990,0.123232,0.120253,0.113864,0.107829,0.102937,0.042087,0.086404,0.162664,0.211768
137,5488,2.04,-1.058223,-1.025912,-1.003073,-0.982322,-0.962965,-0.444356,-0.418505,-0.403586,-0.391523,-0.381032,0.073504,0.093349,0.284087,0.228791
138,1096,2.19,-1.543519,-1.523798,-1.506587,-1.490816,-1.476566,-0.710246,-0.693027,-0.678372,-0.664667,-0.651972,0.048428,0.077464,0.187173,0.189857
139,3016,2.07,-0.161544,-0.170378,-0.180899,-0.189700,-0.196105,-0.009570,-0.010386,-0.013626,-0.016409,-0.018028,0.033720,0.028839,0.130324,0.070682
142,3739,2.09,0.383329,0.358577,0.346491,0.342614,0.344960,-0.251007,-0.240719,-0.229064,-0.218052,-0.207693,0.019239,0.030242,0.074358,0.074121
143,1468,1.99,-2.080237,-2.082879,-2.090506,-2.098742,-2.107764,-0.942871,-0.941813,-0.946309,-0.951616,-0.957151,0.128955,0.001196,0.498402,0.002931
144,2041,2.01,-0.270299,-0.359787,-0.434192,-0.495789,-0.547297,0.129051,0.092632,0.057675,0.027820,0.002744,0.163375,0.021082,0.631437,0.051671
146,3367,2.00,-0.169741,-0.203701,-0.237592,-0.266062,-0.288418,0.216048,0.262062,0.289317,0.306717,0.318427,0.049799,0.082492,0.192470,0.202181
147,1438,1.96,-0.377955,-0.439501,-0.491114,-0.533358,-0.568130,0.062757,0.041452,0.019828,0.001397,-0.013866,0.038473,0.046493,0.148695,0.113951
149,4885,1.99,-1.761531,-1.748766,-1.732466,-1.716212,-1.701357,-0.532248,-0.522351,-0.513851,-0.505460,-0.497418,0.010311,0.067127,0.039853,0.164522
151,4453,2.00,-1.446644,-1.513019,-1.557550,-1.587005,-1.606348,-0.053997,-0.087992,-0.116337,-0.137653,-0.153466,0.029526,0.032979,0.114116,0.080828
152,4483,1.91,-1.647088,-1.622005,-1.597705,-1.574902,-1.554001,-0.354583,-0.337317,-0.322520,-0.308161,-0.294521,0.042105,0.028311,0.162733,0.069389
153,4915,2.07,-0.648405,-0.613211,-0.590835,-0.571490,-0.553271,-0.300004,-0.299001,-0.304623,-0.310894,-0.316528,0.001986,0.080671,0.007677,0.197716
154,604,2.17,-0.087481,-0.087214,-0.088480,-0.088664,-0.087111,0.000632,0.002077,0.001671,0.001687,0.002700,0.016354,0.031989,0.063205,0.078402
155,5629,2.18,-0.140371,-0.178353,-0.209254,-0.232408,-0.248780,-0.045817,-0.061588,-0.076032,-0.087328,-0.095502,0.023623,0.007251,0.091303,0.017773
156,3247,2.05,-0.053740,-0.070020,-0.088907,-0.105887,-0.120146,0.095922,0.096019,0.093161,0.090349,0.088452,0.044342,0.077070,0.171380,0.188893
157,2614,1.99,-0.185137,-0.201795,-0.219007,-0.233444,-0.244802,0.007350,0.004656,-0.000402,-0.004777,-0.007856,0.084819,0.022220,0.327819,0.054459
158,3136,1.97,0.374204,0.341950,0.326997,0.322315,0.324913,-0.213688,-0.208517,-0.200069,-0.191358,-0.182698,0.016058,0.034784,0.062062,0.085253
159,4252,1.95,-0.718582,-0.812469,-0.886806,-0.944605,-0.989435,-0.008320,-0.047494,-0.082800,-0.110719,-0.132047,0.036400,0.020714,0.140683,0.050768
160,2965,1.97,-0.007268,-0.046714,-0.079878,-0.105450,-0.124360,0.029229,0.053318,0.069092,0.081440,0.091922,0.064559,0.035270,0.249517,0.086443
161,2734,1.94,0.345317,0.322069,0.315484,0.318518,0.328255,-0.272863,-0.262519,-0.251071,-0.240809,-0.231611,0.079429,0.009043,0.306989,0.022164
162,4021,2.20,-0.014508,-0.018781,-0.023040,-0.025117,-0.024709,0.019037,0.019363,0.018175,0.017647,0.018235,0.001003,0.025265,0.003877,0.061922
163,2302,2.03,-2.401319,-2.378623,-2.381406,-2.386436,-2.393694,-1.050932,-1.044894,-1.049072,-1.053262,-1.057667,0.096534,0.118442,0.373100,0.290291
164,3970,2.09,-0.065047,-0.089432,-0.113939,-0.134841,-0.151474,0.081553,0.115114,0.137341,0.154199,0.167945,0.020757,0.030632,0.080226,0.075076
165,91,1.96,-1.119206,-1.075824,-1.043884,-1.016074,-0.991251,-0.626615,-0.612995,-0.604977,-0.598641,-0.593198,0.018769,0.106795,0.072539,0.261746
166,4282,1.95,-1.527510,-1.497857,-1.472020,-1.448191,-1.426481,-0.506211,-0.483563,-0.465117,-0.447633,-0.431176,0.029453,0.015780,0.113833,0.038675
167,292,1.93,-1.221426,-1.200450,-1.184589,-1.169692,-1.155644,-0.528408,-0.514476,-0.506477,-0.499479,-0.493019,0.021656,0.104892,0.083700,0.257080
170,3568,2.01,-0.108045,-0.126981,-0.148550,-0.167930,-0.183893,0.114985,0.150537,0.173816,0.191292,0.205403,0.018079,0.025151,0.069876,0.061644
172,232,2.34,-0.265866,-0.311559,-0.350140,-0.381066,-0.405606,0.036063,0.022111,0.007510,-0.004657,-0.014248,0.016877,0.076390,0.065230,0.187225
173,1066,2.00,-2.013309,-2.043547,-2.063346,-2.079228,-2.093502,-0.977393,-0.990004,-1.000882,-1.010609,-1.019543,0.154044,0.098142,0.595373,0.240537
174,3880,2.27,-0.036528,-0.055307,-0.076650,-0.095727,-0.111806,0.113813,0.114631,0.112436,0.110194,0.108777,0.137777,0.097805,0.532501,0.239711
175,4684,2.08,-1.621180,-1.594196,-1.570364,-1.548657,-1.529110,-0.501456,-0.488790,-0.478598,-0.468533,-0.458766,0.037876,0.052303,0.146387,0.128190
176,3307,2.12,-2.103098,-2.127894,-2.140789,-2.150120,-2.158334,-0.807994,-0.814497,-0.819960,-0.824359,-0.827990,0.101327,0.083994,0.391625,0.205863
177,2413,1.97,-0.161313,-0.173885,-0.187656,-0.199201,-0.208018,0.006804,0.005420,0.001624,-0.001638,-0.003701,0.067967,0.021402,0.262688,0.052455
178,4423,1.99,-0.063297,-0.071565,-0.079332,-0.084603,-0.087272,0.061551,0.062547,0.061356,0.060516,0.060556,0.010961,0.018958,0.042362,0.046464
179,2503,1.98,-1.794969,-1.790191,-1.783067,-1.776479,-1.771166,-0.726425,-0.719471,-0.712453,-0.705436,-0.698793,0.076887,0.040612,0.297165,0.099537
